time,weatherType,humEnum,hum,tempEnum,temp,intensity,windInstance,windTracked
339.9826,Rain,HumidityMid,0.661929,TemperatureHigh,0.6905824,0.728694,(-7.1, -7.1),(-3848.4, 104.5)
344.9857,Rain,HumidityMid,0.3703091,TemperatureHigh,0.6953742,0.3511579,(-0.2, -10.0),(-3919.1, -324.6)
349.9919,Clear,HumidityLow,0.3269998,TemperatureHigh,0.6738057,0.2971373,(-0.1, -10.0),(-3920.4, -394.6)
354.9816,Clear,HumidityLow,0.3269998,TemperatureHigh,0.6738057,0.2971373,(-0.1, -10.0),(-3920.4, -394.6)
359.9848,Overcast,HumidityLow,0.1179216,TemperatureLow,0.322914,0.1080557,(-0.1, -10.0),(-3922.5, -1144.6)
364.9912,Overcast,HumidityLow,0.1179216,TemperatureLow,0.322914,0.1080557,(-0.1, -10.0),(-3922.5, -1144.6)
369.9827,Clear,HumidityLow,0.2659125,TemperatureMid,0.3413799,0.608636,(-3.2, -9.5),(-4023.4, -2025.1)
374.9858,Clear,HumidityLow,0.2659125,TemperatureMid,0.3413799,0.608636,(-3.2, -9.5),(-4023.4, -2025.1)
379.9928,Overcast,HumidityMid,0.3354447,TemperatureMid,0.3970572,0.7537789,(-9.8, 1.9),(-4676.2, -2435.1)
384.9959,Overcast,HumidityMid,0.3354447,TemperatureMid,0.3970572,0.7537789,(-9.8, 1.9),(-4676.2, -2435.1)
389.9877,Hail,HumidityMid,0.4292161,TemperatureLow,0.319612,0.7926524,(-8.8, 4.7),(-4900.1, -2350.9)
394.9841,Hail,HumidityMid,0.4292161,TemperatureLow,0.319612,0.7926524,(-8.8, 4.7),(-4900.1, -2350.9)
400.001,Hail,HumidityMid,0.4703285,TemperatureLow,0.2941386,0.8093875,(-8.3, 5.6),(-4986.4, -2300.6)
404.9857,Snow,HumidityHigh,0.6869015,TemperatureLow,0.2093012,0.8231784,(-7.3, 6.9),(-5301.9, -2039.4)
409.9824,Snow,HumidityHigh,0.6869015,TemperatureLow,0.2093012,0.8231784,(-7.3, 6.9),(-5301.9, -2039.4)
414.985,Rain,HumidityHigh,0.680295,TemperatureMid,0.3346009,0.4046419,(-7.0, 7.1),(-6266.7, -1081.0)
419.988,Rain,HumidityHigh,0.680295,TemperatureMid,0.3346009,0.4046419,(-7.0, 7.1),(-6266.7, -1081.0)
424.9959,Overcast,HumidityMid,0.6581462,TemperatureMid,0.349468,0.4114758,(-7.1, 7.1),(-6302.1, -1045.7)
429.9853,Overcast,HumidityMid,0.6581462,TemperatureMid,0.349468,0.4114758,(-7.1, 7.1),(-6302.1, -1045.7)
434.9885,Overcast,HumidityMid,0.4198009,TemperatureMid,0.6387396,0.7807183,(-5.5, 8.4),(-6883.1, -387.3)
439.9959,Hail,HumidityMid,0.6288996,TemperatureLow,0.3284601,0.6794571,(0.8, -10.0),(-5071.0, -1614.4)
444.9836,Hail,HumidityMid,0.6288996,TemperatureLow,0.3284601,0.6794571,(0.8, -10.0),(-5071.0, -1614.4)
449.9988,Hail,HumidityMid,0.6167712,TemperatureLow,0.330798,0.6794571,(0.8, -10.0),(-5070.2, -1624.4)
454.9911,Snow,HumidityHigh,0.6705288,TemperatureLow,0.1952301,0.8288338,(-7.2, -7.0),(-5328.9, -2156.3)
459.9962,Snow,HumidityHigh,0.6705288,TemperatureLow,0.1952301,0.8288338,(-7.2, -7.0),(-5328.9, -2156.3)
464.9858,Hail,HumidityMid,0.6618021,TemperatureLow,0.1956095,0.8283542,(-7.2, -7.0),(-5350.4, -2177.1)
469.9967,Hail,HumidityMid,0.6618021,TemperatureLow,0.1956095,0.8283542,(-7.2, -7.0),(-5350.4, -2177.1)
